pyq_text_0,pyq_text_1,pyq_text_2,pyq_text_3,pyq_text_4,pyq_text_5,pyq_text_6,pyq_text_7,pyq_text_8,pyq_text_9,pyq_text_10,pyq_text_11,pyq_text_12,pyq_text_13,pyq_text_14,pyq_text_15,pyq_text_16,pyq_text_17,pyq_text_18,pyq_text_19,pyq_text_20,pyq_text_21,pyq_text_22,pyq_text_23,pyq_text_24,pyq_text_25,pyq_text_26,pyq_text_27,pyq_text_28,pyq_text_29,pyq_text_30,pyq_text_31,title_0,title_1,title_2,title_3,title_4,title_5,title_6,title_7,title_8,title_9,title_10,title_11,title_12,title_13,title_14,title_15,title_16,title_17,title_18,title_19,title_20,title_21,title_22,title_23,title_24,title_25,title_26,title_27,title_28,title_29,title_30,title_31,label
-4.1143255,-5.5260024,-0.64764935,1.5055373,0.71182096,-0.40959382,-0.7731854,0.031966,0.54877335,-3.0128202,-4.0535073,-1.1445469,5.1331944,1.2631651,-0.80611503,1.598067,3.5854807,-1.9864347,-4.512869,-0.003428042,3.8660655,-0.7674129,-3.2780526,-1.3454107,1.0830828,3.239447,-0.32527262,0.99521655,-0.065386064,-3.31951,-0.3653512,-1.8603923,-1.9206152,3.3199785,0.30660534,1.7785263,-2.2422268,3.4112427,-0.36736357,-0.14487216,0.7682516,-0.30347484,0.5996206,3.8093138,1.0074635,0.1066113,-0.2453741,-2.0262237,2.2649465,-0.6527208,-0.304539,0.59642017,2.402568,0.3764727,-2.0709836,-2.2927163,-0.16784488,-2.4404216,-1.2291361,0.42806458,1.0260086,1.0432217,-0.8846811,-0.80590904,0.21610169491525424
-2.4565108,9.710175,-0.9205555,-6.6524286,2.3338237,3.600376,-0.02478987,-3.046455,-1.1456708,-1.7909452,0.12573686,1.0321912,3.1792762,-1.41064,1.5824157,-0.34130833,-1.3417469,0.5958085,1.5609387,-1.2400345,-1.301472,-2.1163707,0.23027115,-1.5595717,0.10397564,0.09003931,0.6581233,0.21895634,-0.29338217,-0.49691588,0.45129234,-1.2011794,6.3061748,0.07254335,-1.3832388,1.2722318,-0.07664694,-0.11300011,-1.1674651,0.9949905,1.7756543,-2.1473129,-0.5660597,-1.6573431,-1.507386,-1.6156979,-0.87607896,0.9070772,1.4650047,1.1478487,-1.7403033,0.8617197,-0.22209305,-0.7864808,0.18705165,-0.30383262,1.1059136,-0.78816235,0.13246688,0.7465498,0.06549043,0.66920406,-0.20230086,0.6324455,0.9915254237288136
-0.12189253,-1.4584023,-1.3726743,0.57624525,-0.30019963,2.1489654,1.9139209,1.948487,-4.7482247,7.168007,-2.9784214,-4.702569,-3.0689807,-1.960708,-2.3534245,-0.1334354,-3.9852755,4.5376067,-1.9983683,1.3324994,0.06471744,-2.6553872,-0.23846582,-2.914307,-0.24665023,-1.4935215,1.20327,-0.34935507,-1.7572889,-0.14104347,-1.0011406,0.6142239,-3.7424192,8.135032,-1.9469783,-0.5920788,1.3548874,0.043937936,0.49618226,0.44502032,1.3896632,0.9990549,0.74720514,0.2638232,0.3999712,-0.3536766,-0.08132452,-1.4634306,-0.22193769,-0.6780691,-1.1478585,-0.67724127,0.4366967,-0.7407085,0.22033444,-0.37063688,-0.43964878,-0.97909784,-1.1305009,-0.9380134,0.6275574,-0.13660434,-0.5321593,0.60691947,0.559322033898305
-2.2420897,-1.1491835,-2.675434,3.7122602,2.8944845,1.8990363,1.0534163,-0.6394219,-3.2022738,4.426319,0.7980937,4.006247,0.4357536,-1.080297,-0.8254428,-3.0344238,0.65037715,-3.0302486,-0.8726355,0.905975,3.4236867,5.169526,2.778652,-0.98462117,0.39630488,2.6664135,3.3945959,2.8254466,0.46221107,-1.2172778,-0.86845666,-1.2766443,-4.263068,2.1835015,-0.35968077,4.430373,-4.903316,8.45417,-2.4162798,-4.316335,-0.5182804,-1.7595248,-2.3528585,-1.1136445,0.5849536,-0.34966373,-1.1655632,-1.4762869,-1.0635352,-2.263442,-0.38124302,-0.6665474,0.19364049,-0.70181084,1.517139,0.640291,-0.45406556,1.4719095,-0.13458076,-0.4294934,0.23045737,-0.13745406,1.1936638,-0.467331,0.8919491525423728
-3.9892526,-2.9470549,-0.5512024,-2.2261827,-4.7323723,-4.3405037,-2.4916413,-0.020020574,-4.5883036,3.5811267,1.2649426,2.5202427,3.5970652,-1.3169949,-0.9138319,-1.8457315,0.40165338,0.06553316,1.1074169,2.314477,-1.37056,-3.5368097,0.17351505,3.6531413,-3.89078,1.5758388,-4.0871024,0.8041417,-1.458962,0.33518195,-1.7677679,-2.5881538,-2.921515,1.957551,-0.6826776,0.809555,-2.5621135,2.42586,-3.387938,-1.9234048,0.5589255,-2.0055609,-0.26562628,-0.09464933,-0.80013967,0.12976693,-1.7853725,-1.1219057,-0.10282574,2.9559145,-0.750772,-0.092547245,-0.37560925,1.1975596,-1.4095885,-1.2548773,0.7811643,-1.9655212,0.5255841,0.61717093,0.18124309,-1.9637588,-1.2752693,-0.009652156,0.211864406779661
-2.4580684,-1.1323978,-4.661418,2.4283743,2.5057516,1.4458362,-3.7976859,-1.286989,1.0310862,3.6207392,4.0795717,2.379178,-0.22890234,4.991649,4.7495246,-2.4581661,-2.9923413,0.14029086,4.118198,-0.984547,0.36371633,-0.96499515,-0.62799525,2.1666422,1.9757402,3.4401286,0.44270334,-2.1885273,1.9584631,0.18059283,-4.5085006,-1.8554289,-5.5811663,6.5843854,-2.1661875,0.10849126,1.8043118,-0.35517436,0.36292607,1.411393,1.5371462,-1.3057103,-0.05011537,0.12944241,-0.048089266,0.49581963,0.5936802,0.07379186,0.16590036,-0.028244436,-0.35879788,-0.09932804,-0.17658523,0.35649562,0.030033886,-0.46530038,-0.69751817,0.2094482,0.112451695,0.059915796,0.025444597,-0.082437724,-0.027169276,0.7400818,0.6101694915254238
16.202675,0.9035667,0.65991116,0.078347385,0.034093667,-0.25186622,0.5437329,0.16009262,-0.26300326,-0.33681762,0.1963391,-0.3569395,-0.13825354,0.119938195,-0.16292632,0.22505996,0.40300822,-0.010442287,0.4922827,-0.13381676,0.41654146,-0.14829147,0.61151016,0.19057062,0.078868896,0.20705596,-0.13733417,-0.021155298,-0.11681142,0.12025058,-0.04765676,-0.42246318,8.012892,0.07302207,-1.3102725,-1.0287578,0.21701272,-0.7835331,-0.77184254,-1.2886887,2.3002164,-0.31296313,1.0876544,-1.0789576,0.5434113,2.32507,0.19529939,-0.67882794,-1.6723813,-0.29349118,1.4171927,-0.027216226,-1.290647,3.846135,0.3566715,-0.9518181,-0.3103336,-0.5033263,-1.1434987,-1.1149124,-0.48132008,-0.71011364,0.30967534,0.3462381,0.09745762711864407
1.9216444,-2.2289505,-1.5872086,-0.18641762,-1.7222466,3.92162,3.2914586,-2.0491238,-0.6685239,1.3722473,3.1575131,4.2935896,1.5270928,1.1264005,-1.2180501,-0.5275272,-2.2927089,3.2958326,-0.60365677,0.3022455,-3.3170989,2.2644634,1.9300556,-2.3763053,-3.3256953,1.7416648,1.0205095,3.2157822,0.30824703,1.0277039,0.94965434,0.6415689,-4.208241,7.260812,-2.530875,-0.49124986,1.4468973,0.5253564,-0.10385111,0.8297955,-0.11830795,0.38156503,0.64502347,-0.06786904,-0.93060404,0.27290294,0.31093913,-0.028265845,-0.68564,-0.51313365,-0.6836277,-0.109862596,0.7654784,-0.08705141,-0.17932472,-1.2638549,-0.0025157845,0.18423605,-1.9829204,-0.65513957,1.3336897,0.3507557,-0.39735168,0.7898284,0.864406779661017
0.8164258,-3.248646,2.2916493,1.1591327,0.24796197,-2.7247188,-5.4603443,-1.7819719,-0.93133426,-0.9149513,3.5112772,-0.05045843,5.508075,2.527206,-4.339568,-0.6548228,-2.741172,-3.9652781,0.4520284,-1.252126,-0.4908983,1.6176157,0.08369553,-0.5370904,3.376958,-0.687163,-0.10511106,-1.3717694,0.9945457,-0.6238148,0.66130584,2.5522478,6.3147187,0.17836812,-1.788975,0.8721912,0.048640065,0.7831651,-0.55716807,-0.5925069,1.1550176,-0.99292076,-0.09286263,-0.4428704,-0.8881811,1.1693349,-0.1328267,1.5861809,1.3139555,-0.6908349,-0.040923443,1.2206018,-0.06393874,0.51421773,0.51241916,0.49887457,0.5665049,0.20309867,0.121520825,0.06732614,-0.19679777,1.332869,-0.5087964,0.61414325,0.9745762711864406
-2.867171,-1.1452057,-9.592808,1.6526954,-0.10897349,-4.586665,1.3404973,-4.233911,3.449337,-1.9182745,-0.6769136,-4.010163,-3.690993,2.8188608,-0.23119079,0.006106401,-2.7420585,-3.7555737,-0.54883426,-0.029999942,1.104837,-1.8627458,0.6604804,0.02379191,-1.584893,0.6170398,-0.86137116,3.3464384,1.5291024,1.6274244,-1.1461983,-2.1055942,-4.3765154,5.864622,-2.4983687,0.57624197,1.9254594,0.8807731,0.706792,1.4756746,1.7812518,-0.113411546,-0.15348318,-0.43047065,0.3048464,0.39714652,0.8441678,0.80228066,-0.83673835,-0.5994499,1.5388875,-0.27891013,0.15442315,0.07715561,-0.5026838,0.35781276,-0.9918731,-0.43371856,-0.55305725,0.33910838,-0.069633685,0.78910977,1.0475464,-0.9833517,0.8050847457627118
-1.7897545,-1.9655645,-3.458261,1.2587581,1.2398561,-2.774309,-0.5830191,3.9328642,-1.3806068,0.54054964,0.75317556,-0.8159463,2.8617332,3.4151382,3.3893762,-0.09143728,-2.1898842,-1.6801726,-5.5465736,0.065399006,-0.98401517,0.062215276,-2.3138509,2.3666947,2.05749,1.2048856,-0.36204085,-2.804443,0.7680911,4.523073,0.787922,-1.5621221,-1.0641184,-1.8993518,7.7537975,-1.3857635,6.4496055,1.7733177,-0.25874537,0.79121757,0.04408732,-1.8035574,-1.6906312,-0.37780127,0.40164214,0.32643223,-0.43519124,-1.8024375,3.5365238,-0.74108994,-1.4579287,-2.1612916,-0.49231887,0.18148544,-0.544037,-0.032161713,-1.1457196,1.1863415,-1.1658744,-1.6505387,0.69500905,0.5855455,-0.5466311,0.6419663,0.75
